model,folds,mean_subset_accuracy,mean_number_level_accuracy,mean_avg_hit,std_avg_hit
random_baseline,19,0.0,0.7720857699805068,0.8719298245614034,0.15000541467376766
logistic_regression,19,0.0,0.7719298245614035,0.868421052631579,0.15692794769170867
gap_heuristic,19,0.0,0.7691228070175439,0.8052631578947369,0.18198601150106644
freq_heuristic,19,0.0,0.7681091617933723,0.7824561403508772,0.14114541186467364
